recordID,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,customer_id,State
64.0,TN,163,510,no,no,0,277.7,118,47.21,115.3,91,9.8,170.3,90,7.66,10.4,8,2.81,0,no,360966.0,
65.0,ME,57,510,no,no,0,155.2,99,26.38,214.1,98,18.2,241.0,64,10.85,7.5,7,2.03,1,no,54590682.0,
66.0,AL,117,415,no,no,0,198.5,75,33.75,179.8,92,15.28,234.1,119,10.53,10.6,6,2.86,0,no,37582376.0,
67.0,LA,85,408,no,no,0,209.1,57,35.55,110.7,111,9.41,113.3,113,5.1,12.8,4,3.46,1,no,28737880.0,
68.0,AL,132,415,no,no,0,200.0,104,34.0,149.6,101,12.72,137.1,110,6.17,18.9,2,5.1,1,no,40724429.0,
69.0,FL,190,415,no,no,0,196.1,95,33.34,228.3,88,19.41,243.6,95,10.96,7.6,3,2.05,3,no,54860267.0,
70.0,FL,39,510,no,no,0,121.6,99,20.67,267.6,99,22.75,99.7,88,4.49,7.1,2,1.92,1,no,65336364.0,
71.0,SC,84,415,no,no,0,204.1,132,34.7,164.4,117,13.97,165.1,123,7.43,0.0,0,0.0,1,no,37599461.0,
72.0,ID,71,415,no,no,0,212.1,114,36.06,235.9,91,20.05,207.7,135,9.35,11.3,5,3.05,4,no,23092778.0,
73.0,WY,114,415,no,no,0,178.3,86,30.31,176.5,99,15.0,187.1,83,8.42,13.8,2,3.73,1,no,31491459.0,
74.0,NE,135,415,no,no,0,181.8,92,30.91,159.6,63,13.57,232.4,78,10.46,7.0,6,1.89,0,no,55340178.0,
75.0,CO,93,415,no,no,0,120.6,104,20.5,205.5,95,17.47,182.5,107,8.21,9.6,6,2.59,2,no,24150286.0,
76.0,VA,82,415,no,no,0,172.4,112,29.31,131.7,89,11.19,182.8,78,8.23,8.8,9,2.38,1,no,17300377.0,
77.0,WV,64,415,no,no,0,160.6,110,27.3,171.9,97,14.61,105.2,56,4.73,7.3,2,1.97,0,yes,31746589.0,
78.0,AZ,76,408,no,yes,12,98.4,100,16.73,187.5,119,15.94,177.0,68,7.97,15.1,3,4.08,1,no,5632443.0,
79.0,KS,112,415,no,no,0,109.0,126,18.53,212.7,106,18.08,208.3,92,9.37,7.9,3,2.13,1,no,38336467.0,
80.0,NJ,113,408,yes,no,0,122.4,98,20.81,223.8,116,19.02,267.5,148,12.04,11.6,5,3.13,3,no,32970766.0,
81.0,SD,137,415,no,no,0,144.5,119,24.57,167.3,89,14.22,175.1,76,7.88,6.1,4,1.65,5,yes,22704407.0,
82.0,ND,128,408,no,no,0,102.5,87,17.43,177.2,97,15.06,226.0,119,10.17,8.7,5,2.35,1,no,6793244.0,
83.0,SC,84,415,no,no,0,274.1,119,46.6,144.1,123,12.25,268.2,100,12.07,9.9,5,2.67,2,no,56815251.0,
84.0,ID,140,510,no,no,0,193.1,82,32.83,260.3,107,22.13,241.3,93,10.86,13.3,5,3.59,2,no,59757948.0,
85.0,TX,106,415,no,no,0,182.8,96,31.08,193.7,93,16.46,219.5,113,9.88,7.7,2,2.08,2,no,50465210.0,
86.0,SD,166,510,no,yes,32,148.4,86,25.23,170.6,119,14.5,201.5,124,9.07,11.3,12,3.05,1,no,32034357.0,
87.0,TN,137,408,no,no,0,75.8,107,12.89,256.9,98,21.84,204.4,118,9.2,10.5,3,2.84,2,no,13938840.0,
88.0,TN,161,415,no,no,0,198.0,90,33.66,186.4,102,15.84,219.2,90,9.86,9.3,2,2.51,1,no,53531745.0,
89.0,DE,120,415,no,no,0,253.2,95,43.04,210.8,86,17.92,253.9,81,11.43,9.5,4,2.57,5,yes,36106771.0,
90.0,TN,187,510,no,yes,25,199.9,64,33.98,134.6,110,11.44,210.4,78,9.47,11.7,6,3.16,3,no,25335977.0,
91.0,OR,102,415,no,yes,25,187.5,105,31.88,272.3,88,23.15,216.4,91,9.74,11.7,2,3.16,2,no,24358202.0,
92.0,IA,82,408,no,no,0,183.6,111,31.21,303.5,88,25.8,189.8,115,8.54,10.3,6,2.78,0,no,50670074.0,
93.0,MI,100,510,no,yes,21,86.1,95,14.64,189.9,126,16.14,201.3,113,9.06,11.7,4,3.16,0,no,57089344.0,
94.0,AR,45,408,no,no,0,126.8,83,21.56,157.8,100,13.41,158.3,97,7.12,11.0,4,2.97,3,no,37665288.0,
95.0,TN,114,415,no,no,0,108.3,95,18.41,168.3,104,14.31,153.1,109,6.89,9.1,2,2.46,1,no,17242736.0,
96.0,WV,43,408,yes,no,0,160.5,92,27.29,235.8,121,20.04,111.8,95,5.03,13.8,5,3.73,1,yes,56533672.0,
97.0,IL,103,408,no,no,0,147.3,81,25.04,158.4,88,13.46,193.8,103,8.72,11.0,3,2.97,2,no,317757862.0,
98.0,DE,57,510,no,no,0,165.1,91,28.07,240.8,56,20.47,277.0,100,12.47,9.5,3,2.57,2,no,32332090.0,
99.0,NC,52,408,no,yes,31,122.2,88,20.77,139.0,100,11.82,141.9,141,6.39,5.7,10,1.54,3,no,28076479666.0,
100.0,IA,74,408,no,no,0,156.3,102,26.57,273.1,118,23.21,215.8,113,9.71,9.0,4,2.43,3,no,309072858.0,
101.0,AL,74,408,no,yes,46,277.7,109,47.21,270.0,114,22.95,165.3,82,7.44,10.4,2,2.81,1,no,31486442.0,
102.0,HI,40,415,yes,yes,21,147.4,117,25.06,262.8,110,22.34,202.0,97,9.09,10.9,5,2.94,0,no,40192452.0,
103.0,PA,83,415,no,no,0,228.4,113,38.83,163.3,103,13.88,248.0,114,11.16,7.8,6,2.11,1,no,10901270.0,
104.0,RI,102,510,no,no,0,184.6,133,31.38,166.8,94,14.18,225.2,105,10.13,6.8,8,1.84,1,no,28545507.0,
105.0,LA,92,510,no,no,0,87.6,89,14.89,172.3,133,14.65,153.4,88,6.9,8.0,4,2.16,1,no,57718637.0,
106.0,DC,79,408,no,yes,25,219.0,95,37.23,241.9,95,20.56,203.4,102,9.15,5.6,5,1.51,4,no,51997773.0,
107.0,TN,110,510,no,no,0,220.9,100,37.55,279.6,76,23.77,239.8,107,10.79,13.5,9,3.65,1,yes,57930729.0,
108.0,AL,69,408,no,yes,27,188.4,104,32.03,320.6,128,27.25,161.7,120,7.28,9.7,7,2.62,1,no,309959047.0,
109.0,IN,56,510,no,no,0,254.8,83,43.32,194.0,98,16.49,186.2,118,8.38,13.5,2,3.65,4,no,58261405.0,
110.0,UT,133,510,no,no,0,338.4,86,57.53,234.6,97,19.94,264.8,139,11.92,14.8,4,4.0,3,yes,37675873.0,
111.0,FL,119,415,no,yes,37,168.2,81,28.59,283.3,105,24.08,243.8,136,10.97,10.7,3,2.89,1,no,507331694.0,
112.0,VA,131,415,no,no,0,143.1,114,24.33,138.1,119,11.74,199.4,100,8.97,8.9,3,2.4,3,no,29075363.0,
113.0,CT,60,415,no,yes,20,118.3,113,20.11,253.8,97,21.57,172.8,78,7.78,9.4,4,2.54,1,no,33509175.0,
114.0,NC,118,415,no,no,0,256.5,115,43.61,135.3,79,11.5,208.3,131,9.37,7.5,5,2.03,0,no,54267661.0,
115.0,PA,92,510,no,no,0,185.9,111,31.6,216.8,93,18.43,231.0,58,10.4,8.5,2,2.3,1,no,33406182.0,
116.0,MI,52,510,no,no,0,219.0,100,37.23,148.9,110,12.66,151.8,129,6.83,11.9,8,3.21,3,no,13902978.0,
117.0,NC,135,510,no,yes,18,180.1,90,30.62,152.5,65,12.96,258.2,85,11.62,12.7,9,3.43,1,no,56426661.0,
118.0,GA,107,408,no,no,0,114.9,119,19.53,239.7,91,20.37,165.3,112,7.44,12.6,5,3.4,2,no,58307422.0,
119.0,PA,110,510,no,no,0,158.6,97,26.96,204.4,123,17.37,182.5,123,8.21,11.3,3,3.05,2,no,38345369.0,
120.0,DE,109,415,yes,yes,36,244.2,147,41.51,199.7,65,16.97,144.4,109,6.5,15.4,3,4.16,2,yes,29328440.0,
121.0,NY,90,415,no,no,0,180.0,58,30.6,229.4,88,19.5,162.2,110,7.3,13.2,9,3.56,1,no,6968291.0,
122.0,MA,117,408,no,no,0,240.2,110,40.83,187.9,65,15.97,152.7,102,6.87,7.0,19,1.89,3,no,22828495.0,
123.0,MT,57,415,no,no,0,234.4,120,39.85,155.3,120,13.2,130.5,103,5.87,9.4,4,2.54,1,no,58039900.0,
124.0,NE,115,415,no,no,0,135.4,104,23.02,138.8,91,11.8,208.5,92,9.38,5.4,3,1.46,1,no,57695173.0,
125.0,ME,73,408,no,no,0,272.4,112,46.31,252.2,91,21.44,255.4,112,11.49,10.9,5,2.94,1,yes,34184093.0,
126.0,NJ,127,510,no,no,0,262.9,95,44.69,175.9,126,14.95,202.1,101,9.09,7.5,5,2.03,1,no,32779480.0,
127.0,DE,79,415,no,no,0,66.7,124,11.34,204.0,91,17.34,254.7,110,11.46,15.1,2,4.08,1,no,64764665.0,
128.0,VT,33,408,no,yes,33,221.4,110,37.64,276.1,86,23.47,222.9,102,10.03,10.1,4,2.73,1,no,13179601.0,
129.0,NC,110,415,yes,no,0,135.1,99,22.97,227.3,123,19.32,176.0,110,7.92,13.2,4,3.56,1,yes,31468473.0,
130.0,CT,133,408,no,no,0,240.8,72,40.94,202.7,62,17.23,212.9,76,9.58,7.7,5,2.08,1,no,14346852.0,
131.0,NH,145,415,no,no,0,170.5,101,28.99,206.5,112,17.55,194.3,106,8.74,9.8,1,2.65,3,no,38309977.0,
132.0,KY,47,415,no,yes,40,158.3,90,26.91,213.2,71,18.12,123.0,132,5.54,14.0,2,3.78,2,no,29633310.0,
133.0,CO,53,510,no,yes,24,201.7,87,34.29,251.7,97,21.39,297.4,95,13.38,7.9,5,2.13,0,no,55488332.0,
134.0,NH,148,510,no,no,0,168.8,102,28.7,248.1,125,21.09,250.7,96,11.28,10.6,4,2.86,1,no,29451754.0,
135.0,MA,72,415,no,no,0,141.9,98,24.12,188.1,63,15.99,115.2,49,5.18,12.0,5,3.24,2,no,32415267.0,
136.0,LA,96,510,no,no,0,182.6,75,31.04,188.6,67,16.03,137.7,81,6.2,9.5,3,2.57,5,yes,357152.0,
137.0,WV,113,510,no,yes,28,264.4,93,44.95,222.8,79,18.94,213.7,88,9.62,10.0,4,2.7,1,no,303668099.0,
138.0,IL,55,415,no,no,0,203.7,80,34.63,230.2,112,19.57,120.3,48,5.41,9.4,1,2.54,3,no,57776197.0,
139.0,MI,143,415,no,no,0,191.6,53,32.57,104.6,104,8.89,195.8,125,8.81,10.7,9,2.89,3,no,56549124.0,
140.0,IN,60,415,no,no,0,136.4,147,23.19,219.9,101,18.69,99.7,73,4.49,7.0,3,1.89,0,no,314570813.0,
141.0,CO,90,415,no,yes,30,168.2,103,28.59,220.9,75,18.78,224.3,105,10.09,8.2,2,2.21,0,no,56380082.0,
142.0,DC,170,408,no,yes,34,125.3,128,21.3,240.6,104,20.45,243.4,109,10.95,7.0,3,1.89,3,no,57716755.0,
143.0,TX,65,415,no,no,0,217.9,89,37.04,238.8,101,20.3,194.4,105,8.75,6.6,4,1.78,0,no,22860621.0,
144.0,IA,93,408,no,no,0,198.1,93,33.68,236.1,95,20.07,127.3,121,5.73,12.6,4,3.4,2,no,33290677.0,
145.0,UT,117,408,yes,yes,15,178.8,81,30.4,286.1,85,24.32,229.4,128,10.32,7.1,5,1.92,1,no,24262404.0,
146.0,AL,96,415,no,yes,18,262.9,57,44.69,190.2,107,16.17,293.5,103,13.21,11.8,4,3.19,3,no,22357909.0,
147.0,CT,101,415,no,no,0,164.6,85,27.98,204.9,72,17.42,136.4,104,6.14,11.5,5,3.11,0,no,5018122.0,
148.0,NV,60,415,no,no,0,197.0,130,33.49,219.2,105,18.63,102.8,113,4.63,12.6,4,3.4,1,no,11952652.0,
149.0,IA,157,510,no,no,0,102.9,94,17.49,229.1,96,19.47,198.7,129,8.94,13.6,2,3.67,1,no,309517738.0,
150.0,UT,89,408,no,no,0,144.2,74,24.51,164.7,119,14.0,279.2,121,12.56,12.1,7,3.27,4,yes,11437191.0,
151.0,GA,96,408,no,yes,26,126.5,108,21.51,123.8,114,10.52,308.5,98,13.88,13.1,6,3.54,2,no,22790695.0,
152.0,PA,91,415,no,no,0,139.8,109,23.77,157.0,91,13.35,218.6,122,9.84,13.6,4,3.67,3,no,24839094.0,
153.0,VA,104,415,no,no,0,139.7,112,23.75,199.8,127,16.98,189.3,104,8.52,10.3,2,2.78,2,no,57274383.0,
154.0,SC,40,415,no,no,0,309.4,86,52.6,271.3,98,23.06,197.1,116,8.87,11.2,5,3.02,3,yes,34168948.0,
155.0,WV,161,415,no,no,0,159.6,102,27.13,212.6,119,18.07,151.4,83,6.81,12.6,7,3.4,5,yes,10936912.0,
156.0,KY,131,408,no,yes,29,239.7,102,40.75,212.8,109,18.09,187.7,77,8.45,10.5,2,2.84,1,no,57882763.0,
157.0,KS,131,510,no,no,0,195.6,93,33.25,245.0,100,20.83,104.7,97,4.71,13.2,6,3.56,2,no,67810671.0,
158.0,DC,79,510,no,no,0,161.1,110,27.39,170.6,111,14.5,274.4,80,12.35,7.6,2,2.05,2,no,35959436.0,
159.0,AZ,130,510,no,yes,22,173.9,90,29.56,234.8,86,19.96,121.8,79,5.48,8.4,5,2.27,1,no,28703791.0,
160.0,HI,161,408,no,no,0,165.4,88,28.12,209.7,111,17.82,270.7,129,12.18,10.5,3,2.84,4,no,17401688.0,
161.0,MS,108,415,no,yes,28,221.3,117,37.62,156.0,102,13.26,159.3,80,7.17,8.7,3,2.35,0,no,28568764.0,
162.0,WV,69,415,yes,no,0,176.8,89,30.06,196.0,89,16.66,232.6,151,10.47,13.1,5,3.54,1,yes,304765399.0,
163.0,NC,80,408,no,no,0,196.0,75,33.32,237.8,112,20.21,220.1,127,9.9,13.9,5,3.75,1,no,28706836.0,
164.0,ME,146,415,no,no,0,174.3,113,29.63,200.7,107,17.06,281.2,145,12.65,11.6,3,3.13,4,no,59065060.0,
165.0,NJ,143,408,yes,no,0,186.9,98,31.77,196.5,110,16.7,215.3,104,9.69,12.3,3,3.32,4,no,34776930.0,
166.0,WA,114,510,yes,no,0,115.6,93,19.65,163.2,78,13.87,251.3,104,11.31,9.7,1,2.62,2,yes,53190799.0,
167.0,WY,113,408,no,no,0,158.4,107,26.93,142.2,104,12.09,174.7,108,7.86,14.9,2,4.02,0,no,55617419.0,
168.0,ME,29,415,no,yes,38,149.4,93,25.4,189.8,96,16.13,127.4,71,5.73,6.0,3,1.62,1,no,24816571.0,
169.0,MS,57,415,no,yes,36,244.5,94,41.57,161.2,113,13.7,184.3,105,8.29,9.7,3,2.62,1,no,23080005.0,
170.0,KY,78,415,no,no,0,145.5,124,24.74,143.4,71,12.19,291.1,123,13.1,9.5,5,2.57,3,no,32086340.0,
171.0,GA,120,510,no,no,0,147.7,101,25.11,144.1,71,12.25,237.0,115,10.67,11.1,5,3.0,0,no,25642976.0,
172.0,AL,97,415,no,no,0,164.3,106,27.93,182.3,97,15.5,183.9,93,8.28,12.1,2,3.27,1,no,5862644.0,
173.0,IN,185,415,no,no,0,89.4,77,15.2,288.9,128,24.56,162.9,93,7.33,10.4,2,2.81,3,no,69605723.0,
174.0,AK,144,415,no,yes,38,276.3,149,46.97,252.0,112,21.42,132.5,85,5.96,8.7,3,2.35,1,no,12235594.0,
175.0,AR,97,510,no,yes,32,172.7,79,29.36,217.4,101,18.48,260.7,88,11.73,11.7,5,3.16,1,no,25297417.0,
176.0,VA,130,415,no,no,0,138.7,68,23.58,205.6,102,17.48,231.2,108,10.4,13.6,3,3.67,2,no,27463199.0,
177.0,DC,59,415,no,yes,26,205.4,68,34.92,115.0,115,9.78,214.7,130,9.66,9.4,2,2.54,5,no,4609327.0,
178.0,ID,139,408,no,no,0,187.4,86,31.86,169.3,116,14.39,153.4,88,6.9,11.7,3,3.16,1,no,54133863.0,
179.0,DE,12,415,no,no,0,206.1,105,35.04,246.6,104,20.96,254.6,83,11.46,12.1,7,3.27,2,no,47858345.0,
180.0,MN,42,408,no,yes,34,131.5,143,22.36,185.3,109,15.75,177.3,117,7.98,10.9,5,2.94,0,no,69685485.0,
181.0,WY,63,415,no,no,0,120.1,103,20.42,179.2,132,15.23,127.3,82,5.73,6.3,4,1.7,1,no,32849374.0,
182.0,NY,143,415,no,no,0,168.6,85,28.66,176.3,89,14.99,282.3,69,12.7,13.3,10,3.59,1,no,69044873.0,
183.0,VA,150,415,no,yes,29,235.8,91,40.09,202.8,84,17.24,246.3,81,11.08,11.9,4,3.21,1,no,24853442.0,
184.0,AR,156,510,no,no,0,189.4,114,32.2,145.7,96,12.38,192.8,121,8.68,4.5,13,1.22,0,no,47555545.0,
185.0,TX,98,408,no,no,0,158.5,90,26.95,254.4,67,21.62,178.4,104,8.03,14.8,5,4.0,2,no,24975955.0,
186.0,DC,17,510,no,yes,30,280.0,101,47.6,258.9,85,22.01,230.0,130,10.35,10.3,2,2.78,3,no,27227545.0,
187.0,NY,101,415,no,no,0,229.8,97,39.07,217.8,133,18.51,243.5,53,10.96,8.9,2,2.4,1,no,27384882.0,
188.0,OH,163,415,no,no,0,241.6,102,41.07,138.9,100,11.81,148.8,129,6.7,9.8,6,2.65,1,no,63579239.0,
189.0,LA,140,415,no,yes,27,176.0,141,29.92,201.3,143,17.11,167.9,93,7.56,7.1,5,1.92,3,no,59609685.0,
190.0,OH,176,415,no,yes,31,167.0,93,28.39,174.1,128,14.8,155.0,124,6.98,10.4,4,2.81,3,no,32452518.0,
191.0,UT,102,510,no,yes,45,129.2,142,21.96,239.4,114,20.35,223.4,66,10.05,8.7,4,2.35,0,no,32847790.0,
192.0,VA,71,415,no,yes,49,174.0,122,29.58,168.6,85,14.33,132.1,120,5.94,7.8,4,2.11,1,no,53093670.0,
193.0,TX,104,415,no,no,0,261.2,81,44.4,209.1,130,17.77,281.1,121,12.65,11.3,1,3.05,2,yes,5611272.0,
194.0,TN,96,415,no,no,0,264.6,117,44.98,264.1,121,22.45,77.1,89,3.47,8.1,4,2.19,0,no,38397964.0,
195.0,PA,90,408,no,no,0,160.9,97,27.35,136.4,46,11.59,209.0,121,9.4,9.1,4,2.46,2,no,29389228.0,
196.0,CT,106,510,no,yes,36,124.8,93,21.22,241.7,83,20.54,219.0,110,9.86,11.3,3,3.05,1,no,29421252.0,
197.0,DE,148,510,no,no,0,230.6,92,39.2,185.6,97,15.78,183.2,79,8.24,6.2,4,1.67,2,no,57047615.0,
198.0,IN,66,408,no,no,0,241.7,112,41.09,251.6,78,21.39,105.0,82,4.72,11.3,2,3.05,2,no,306030362.0,
199.0,UT,95,408,no,yes,35,229.1,143,38.95,148.2,104,12.6,248.4,110,11.18,3.9,3,1.05,0,no,29050671.0,
200.0,OK,127,408,no,no,0,212.9,92,36.19,260.1,124,22.11,177.6,85,7.99,8.6,2,2.32,2,no,57965881.0,
